S055_R03,1278.6051606,571.035472,False
S030_R04,1124.1592818,,False
S034_T02,1008.7060086,,False
S048_R01,2078.7507496,1315.2592144,False
S022_T01,1269.0889378,607.7680882,False
S052_R03,913.1985396,761.1354314,False
S021_R03,1290.4768762,452.126791,False
S006_R02,1449.7970676,,False
S039_R01,1076.2077614,346.944592,False
S034_T04,283.7820418,,False
S047_T03,1079.8322084,427.5957294,False
S015_T05,315.040096,,False
S039_R03,613.6287532,460.544488,False
S022_T02,1151.171223,1061.2209184,False
S039_R02,2380.6368352,2224.843865,False
S015_T01,2051.415587,1305.3599694,False
S052_R04,1119.5016812,464.1282012,False
S043_R02,618.284798,,False
S006_R03,1336.559576,,False
S045_T04,807.6090732,166.463118,False
S052_R02,795.3252868,528.126962,False
S034_T03,905.1390464,,False
S052_R01,1873.2126644,1070.4477302,False
S054_R02,677.3092524,334.5288032,False
S055_R01,1595.148253,838.205745,False
S047_T01,1592.8326582,926.9183462,False
S021_R01,1027.8377408,318.8637818,False
S030_R02,1333.2783516,,False
S022_T03,808.2650216,485.131078,False
S034_T01,1652.3040568,,False
S021_R02,1125.4693728,877.5022306,False
S047_T02,730.404393,620.6946616,False
S059_T02,938.6793352,255.2280554,False
S022_T04,1346.493577,657.4969642,False
S006_R01,1521.9515494,,False
S054_R03,1253.948805,704.543713,False
S045_T05,,,False
S030_R01,1406.6672836,,False
S059_T01,1326.3974062,699.3368604,False
S047_T04,341.470377,,False
S043_R03,933.597796,433.4697294,False
S045_T03,729.7039206,621.097434,False
S015_T03,1589.038329,938.6921776,False
S055_R01,1595.148253,838.205745,False
S045_T02,1146.0833622,1055.90694,False
S015_T02,2130.281012,2074.7444962,False
S043_R01,1312.7020802,493.7096962,False
S039_R05,2365.9807628,,False
S055_R02,1634.1065256,1460.2185862,False
S048_R02,1054.3363744,433.5347582,False
S054_R01,2045.002902,1329.3580336,False
S015_T04,,,False
S039_R04,987.9375016,316.799471,False
S022_T05,513.9366796,,False
S045_T01,1307.3784154,422.4266008,False
S43_R01,,,False
S030_R03,677.34315,,False
